category ID;pail;category name;parent category;root;aliexpress_url
202001900;1;Женская одежда;3;0;https://aliexpress.ru/category/202001900/women-clothing.html
202003589;1;Женские комбинезоны;202001900;0;https://aliexpress.ru/category/202003589/jumpsuits.html
202059286;1;Женские боди;202001900;0;https://aliexpress.ru/category/202059286/bodysuits.html
202001904;1;Женские худи и свитшоты;202001900;0;https://aliexpress.ru/category/202001904/hoodies-sweatshirts.html
202001905;1;Брюки;202001900;0;https://aliexpress.ru/category/202001905/pants-capris.html
202001909;1;Женские шорты;202001900;0;https://aliexpress.ru/category/202001909/shorts.html
202005148;1;Женские платья;202001900;0;https://aliexpress.ru/category/202005148/dresses.html
202003451;1;Женские футболки и топы;202001900;0;https://aliexpress.ru/category/202003451/tops-tees.html
202003444;1;Верхняя одежда;202001900;0;https://aliexpress.ru/category/202003444/jackets-coats.html
202003442;1;Женское нижнее белье;202001900;0;https://aliexpress.ru/category/202003442/women-intimates.html
202003447;1;Женские носки и чулки;202001900;0;https://aliexpress.ru/category/202003447/women-socks-hosiery.html
202003448;1;Женские костюмы;202001900;0;https://aliexpress.ru/category/202003448/suits-sets.html
202003445;1;Женские пижамы;202001900;0;https://aliexpress.ru/category/202003445/women-sleepwears.html
202003502;1;Водолазки;202001900;0;https://aliexpress.ru/category/202003502/pullovers.html
202003507;1;Женские пиджаки;202001900;0;https://aliexpress.ru/category/202003507/blazers.html
202003586;1;Легинсы;202001900;0;https://aliexpress.ru/category/202003586/leggings.html
205873302;1;Джинсы;202001900;0;https://aliexpress.ru/category/205873302/jeans-nonleaf.html
205895501;1;Купальники и пляжная одежда;202001900;0;https://aliexpress.ru/category/205895501/swimsuit.html
205903103;1;Блузки и рубашки;202001900;0;https://aliexpress.ru/category/205903103/women-tops.html
202001892;1;Мужская одежда;3;0;https://aliexpress.ru/category/202001892/men-clothing.html
202060623;1;Мужские спортивные костюмы;202001892;0;https://aliexpress.ru/category/202060623/men-sets.html
202001897;1;Мужские джинсы;202001892;0;https://aliexpress.ru/category/202001897/jeans.html
202001898;1;Мужские шорты;202001892;0;https://aliexpress.ru/category/202001898/casual-shorts.html
202001895;1;Мужские толстовки и свитшоты;202001892;0;https://aliexpress.ru/category/202001895/hoodies-sweatshirts.html
202005156;1;Мужские носки;202001892;0;https://aliexpress.ru/category/202005156/men-socks.html
202003388;1;Мужские рубашки;202001892;0;https://aliexpress.ru/category/202003388/shirts.html
202003386;1;Мужская верхняя одежда;202001892;0;https://aliexpress.ru/category/202003386/jackets-coats.html
202003392;1;Мужская домашняя одежда;202001892;0;https://aliexpress.ru/category/202003392/men-sleep-lounge.html
202003404;1;Мужские свитеры и кардиганы;202001892;0;https://aliexpress.ru/category/202003404/sweaters.html
202003407;1;Жилеты;202001892;0;https://aliexpress.ru/category/202003407/vests.html
202003399;1;Пиджаки;202001892;0;https://aliexpress.ru/category/202003399/blazers.html
202003398;1;Мужские костюмы;202001892;0;https://aliexpress.ru/category/202003398/suits-blazers.html
202003411;1;Плавки и пляжные шорты;202001892;0;https://aliexpress.ru/category/202003411/board-shorts.html
202003409;1;Футболки и поло;202001892;0;https://aliexpress.ru/category/202003409/tops-tees.html
202003410;1;Мужское нижнее белье;202001892;0;https://aliexpress.ru/category/202003410/men-underwear.html
202032005;1;Мужские брюки;202001892;0;https://aliexpress.ru/category/202032005/pants.html
202001931;1;Свадьбы и торжества;3;0;https://aliexpress.ru/category/202001931/weddings-events.html
202001935;1;Свадебные платья;202001931;0;https://aliexpress.ru/category/202001935/wedding-dresses.html
202002349;1;Свадебные аксессуары;202001931;0;https://aliexpress.ru/category/202002349/wedding-accessories.html
202002387;1;Вечерние платья;202001931;0;https://aliexpress.ru/category/202002387/evening-dresses.html
202002386;1;Платья на выпускной;202001931;0;https://aliexpress.ru/category/202002386/prom-dresses.html
